"Access","Access Start (UTCG)","Access End (UTCG)","Duration (sec)","Asset Full Name"
1913,16 Dec 2021 02:00:46.958,16 Dec 2021 02:04:09.383,202.425,"Awarua"
1914,16 Dec 2021 02:30:37.013,16 Dec 2021 02:34:13.458,216.445,"Panama"
1915,16 Dec 2021 03:04:33.186,16 Dec 2021 03:07:35.695,182.509,"Dubai"
1916,16 Dec 2021 03:10:52.874,16 Dec 2021 03:13:23.513,150.639,"Bangladore"
1917,16 Dec 2021 03:26:38.932,16 Dec 2021 03:27:33.830,54.898,"Mingenew"
1918,16 Dec 2021 03:37:51.775,16 Dec 2021 03:40:27.893,156.118,"Awarua"
1919,16 Dec 2021 04:32:45.946,16 Dec 2021 04:36:28.627,222.680,"Nemea"
1920,16 Dec 2021 05:13:55.363,16 Dec 2021 05:17:37.514,222.151,"Awarua"
1921,16 Dec 2021 06:04:28.808,16 Dec 2021 06:08:07.576,218.767,"Puertollano"
1922,16 Dec 2021 06:27:12.652,16 Dec 2021 06:29:16.770,124.118,"Mauritius"
1923,16 Dec 2021 06:51:08.237,16 Dec 2021 06:52:30.439,82.202,"Awarua"
1924,16 Dec 2021 07:18:30.698,16 Dec 2021 07:21:00.138,149.440,"Los_Angeles"
1925,16 Dec 2021 07:36:53.144,16 Dec 2021 07:40:32.187,219.043,"Azores"
1926,16 Dec 2021 07:40:57.017,16 Dec 2021 07:44:16.290,199.273,"Maspalomas"
1927,16 Dec 2021 07:59:01.249,16 Dec 2021 08:02:23.690,202.441,"Hartebeesthoek"
1928,16 Dec 2021 11:33:12.656,16 Dec 2021 11:36:21.195,188.539,"Mingenew"
1929,16 Dec 2021 13:14:28.590,16 Dec 2021 13:16:24.060,115.470,"Singapore"
1930,16 Dec 2021 13:26:17.115,16 Dec 2021 13:29:59.427,222.311,"Tokyo"
1931,16 Dec 2021 13:47:56.906,16 Dec 2021 13:50:55.698,178.792,"Los_Angeles"
1932,16 Dec 2021 14:00:21.485,16 Dec 2021 14:01:00.522,39.037,"Panama"
1933,16 Dec 2021 14:10:32.491,16 Dec 2021 14:12:42.024,129.533,"Cordoba"
1934,16 Dec 2021 15:00:52.822,16 Dec 2021 15:02:50.091,117.269,"Jeju"
1935,16 Dec 2021 16:15:12.675,16 Dec 2021 16:16:02.712,50.037,"Mauritius"
1936,16 Dec 2021 16:24:18.116,16 Dec 2021 16:27:30.185,192.068,"Bangladore"
1937,16 Dec 2021 17:24:33.164,16 Dec 2021 17:27:25.951,172.787,"Punta_Arenas"
1938,16 Dec 2021 17:25:20.776,16 Dec 2021 17:27:59.902,159.126,"Tolhuin"
1939,16 Dec 2021 17:44:36.440,16 Dec 2021 17:47:06.923,150.483,"Hartebeesthoek"
1940,16 Dec 2021 17:59:25.530,16 Dec 2021 18:02:37.192,191.662,"Dubai"
1941,16 Dec 2021 19:00:08.601,16 Dec 2021 19:03:52.690,224.089,"Punta_Arenas"
1942,16 Dec 2021 19:00:51.011,16 Dec 2021 19:04:22.437,211.426,"Tolhuin"
1943,16 Dec 2021 20:36:22.352,16 Dec 2021 20:39:50.714,208.362,"Punta_Arenas"
1944,16 Dec 2021 20:37:10.675,16 Dec 2021 20:39:56.603,165.928,"Tolhuin"
1945,16 Dec 2021 21:08:45.278,16 Dec 2021 21:12:04.843,199.564,"Nemea"
1946,16 Dec 2021 21:30:14.946,16 Dec 2021 21:33:11.057,176.110,"Jeju"
1947,16 Dec 2021 21:32:06.521,16 Dec 2021 21:34:46.034,159.513,"Tokyo"
1948,16 Dec 2021 22:17:14.010,16 Dec 2021 22:19:38.034,144.024,"Cordoba"
1949,16 Dec 2021 22:37:40.992,16 Dec 2021 22:39:31.416,110.425,"Maspalomas"
1950,16 Dec 2021 22:41:25.434,16 Dec 2021 22:43:30.207,124.773,"Puertollano"
1951,17 Dec 2021 00:13:50.730,17 Dec 2021 00:15:54.578,123.848,"Azores"
1952,17 Dec 2021 00:17:29.195,17 Dec 2021 00:19:50.011,140.815,"Puertollano"
1953,17 Dec 2021 01:04:40.643,17 Dec 2021 01:08:27.580,226.937,"Awarua"
1954,17 Dec 2021 01:49:53.115,17 Dec 2021 01:52:15.500,142.385,"Azores"
1955,17 Dec 2021 02:15:09.698,17 Dec 2021 02:17:42.145,152.447,"Bangladore"
